timestamp,open,high,low,close,volume
2024-04-30 19:55:00,164.3410,164.4510,164.3260,164.3490,509
2024-04-30 19:50:00,164.3410,164.3420,164.3260,164.3290,34
2024-04-30 19:45:00,164.3610,164.3620,164.0480,164.0920,16
2024-04-30 19:40:00,164.1630,164.3620,164.1470,164.3490,7
2024-04-30 19:35:00,164.1530,164.1540,164.1380,164.1410,16
2024-04-30 19:30:00,164.4410,164.4410,164.4250,164.4280,6
2024-04-30 19:25:00,164.3510,164.4510,164.1380,164.4380,11
2024-04-30 19:15:00,164.1630,164.1640,163.9000,164.0520,150
2024-04-30 19:10:00,164.3610,164.3620,164.3450,164.3490,15
2024-04-30 19:00:00,164.5590,164.5600,164.5430,164.5470,1568458
2024-04-30 18:55:00,164.4500,164.4510,164.4350,164.4380,2
2024-04-30 18:50:00,164.1730,164.4510,163.8600,164.4380,618
2024-04-30 18:45:00,164.1730,164.4010,164.1570,164.3690,25
2024-04-30 18:40:00,164.1730,164.1740,164.1570,164.1610,8
2024-04-30 18:35:00,164.3610,164.4510,164.1540,164.4380,7
2024-04-30 18:30:00,164.5590,164.5600,164.3550,164.3590,1568462
2024-04-30 18:25:00,164.3710,164.4510,164.3550,164.4380,6
2024-04-30 18:20:00,164.3510,164.3720,164.0680,164.3490,127
2024-04-30 18:15:00,164.1530,164.1640,164.1380,164.1510,54
2024-04-30 18:10:00,164.0840,164.1540,164.0680,164.1410,7
2024-04-30 18:05:00,163.8960,163.8970,163.8800,163.8840,180
2024-04-30 18:00:00,164.3320,164.3320,164.2460,164.3200,277
2024-04-30 17:55:00,164.3320,164.3420,164.3160,164.3200,239
2024-04-30 17:50:00,163.9950,164.4510,163.9790,164.4380,572
2024-04-30 17:45:00,163.9750,164.1040,163.9590,163.9730,115
2024-04-30 17:40:00,164.3610,164.3620,163.9500,163.9530,1008
2024-04-30 17:35:00,164.1630,164.1640,163.9490,163.9530,60
2024-04-30 17:30:00,164.2130,164.2330,164.1470,164.2210,9
2024-04-30 17:25:00,164.3410,164.3420,163.9490,164.2110,1206
2024-04-30 17:20:00,164.4500,164.4510,164.3360,164.4380,35
2024-04-30 17:15:00,164.1730,164.4590,164.1570,164.4460,244
2024-04-30 17:10:00,163.9650,163.9660,163.9490,163.9530,169
2024-04-30 17:05:00,164.5590,164.5600,163.9490,163.9530,3237
2024-04-30 17:00:00,163.9650,164.1840,163.9490,164.0320,98
2024-04-30 16:55:00,164.1830,164.5600,163.9490,164.1810,2873
2024-04-30 16:50:00,164.1730,164.1740,164.1470,164.1610,375
2024-04-30 16:45:00,164.0640,164.1840,164.0430,164.1510,632
2024-04-30 16:40:00,164.1630,164.1640,164.0980,164.1020,40
2024-04-30 16:35:00,163.9650,164.2630,163.9490,164.1020,767
2024-04-30 16:30:00,164.1930,164.1930,163.9490,163.9530,667
2024-04-30 16:25:00,164.1830,164.5600,163.9990,164.5470,78795
2024-04-30 16:20:00,164.5590,164.5600,163.8500,163.8640,10808
2024-04-30 16:15:00,164.5590,164.5600,163.8500,163.8540,181
2024-04-30 16:10:00,164.5590,164.5600,163.9490,164.0520,1577263
2024-04-30 16:05:00,164.5590,164.5600,163.9000,164.5470,71517
2024-04-30 16:00:00,164.5490,164.5900,163.8500,164.5470,3707913
2024-04-30 15:55:00,163.9950,164.5700,163.9300,164.5370,582237
2024-04-30 15:50:00,164.1930,164.4710,163.9790,163.9830,169674
2024-04-30 15:45:00,164.1930,164.2030,164.0290,164.1790,73559
2024-04-30 15:40:00,164.1980,164.3370,164.1180,164.1810,50073
2024-04-30 15:35:00,164.3710,164.3910,164.0480,164.2010,55391
2024-04-30 15:30:00,164.3910,164.4710,164.3260,164.3540,39179
2024-04-30 15:25:00,164.2920,164.4810,164.2170,164.3840,39015
2024-04-30 15:20:00,164.4210,164.5100,164.2660,164.2800,35632
2024-04-30 15:15:00,164.5490,164.5900,164.3850,164.3990,49321
2024-04-30 15:10:00,164.4260,164.5900,164.4100,164.5090,41427
2024-04-30 15:05:00,164.5490,164.5820,164.3950,164.3990,17718
2024-04-30 15:00:00,164.4660,164.6040,164.4250,164.5370,26483
2024-04-30 14:55:00,164.3020,164.5000,164.2560,164.4880,52214
2024-04-30 14:50:00,164.3120,164.3720,164.0980,164.2900,43705
2024-04-30 14:45:00,164.4600,164.4900,164.2960,164.3150,44981
2024-04-30 14:40:00,164.4810,164.5000,164.4100,164.4330,20331
2024-04-30 14:35:00,164.4450,164.5130,164.3660,164.4980,27356
2024-04-30 14:30:00,164.4010,164.5400,164.3060,164.4330,24778
2024-04-30 14:25:00,164.3910,164.4810,164.3160,164.3890,26069
2024-04-30 14:20:00,164.5300,164.5320,164.3360,164.3890,19390
2024-04-30 14:15:00,164.2620,164.5020,164.2270,164.4890,28718
2024-04-30 14:10:00,164.4600,164.4610,164.2170,164.2300,25044
2024-04-30 14:05:00,164.5590,164.5900,164.3950,164.3990,22246
2024-04-30 14:00:00,164.5910,164.6690,164.5140,164.5710,15722
